Code_Departement,2010,2050
01,24504191904.746475,64346907928.54366
02,94621188609.4241,454380663940.1547
03,18378006548.175484,172150874341.75406
04,1934666318.2487328,1652305449.4365714
05,530987491.9907667,691113698.3794602
06,3184115.4392419863,15724213.735981023
07,964568670.0394901,1519339305.7479665
08,29571004726.239067,119450028050.61766
09,3243421882.4672794,7622107643.793545
10,48392881682.3461,222976103366.1788
11,4571253125.051353,3281508635.890209
12,7223126703.311128,13230767194.6269
13,1758421458.3837337,1439315647.5623026
14,118815192268.31596,330593907198.7485
15,2259753241.702519,14393621610.365393
16,63362541723.52116,114080131932.59186
17,85395256048.92012,154999212549.34808
18,66102264149.481285,103983675221.90831
19,2748653047.34643,32644165809.777374
21,22420418909.228558,115163123800.35378
22,141193913550.11118,392503198546.7069
23,6427483379.232297,79818573202.52779
24,18230024540.657997,41095531268.73464
25,3064171827.9185433,13362455664.701916
26,6866583634.770711,14646212977.41268
27,144799308923.2474,324373693310.1913
28,162700117024.6347,343111596968.9038
29,117047956018.20148,294164065151.96954
2A,145907.37679516952,3131321.9507927243
2B,85810129.89141378,4126625984.948645
30,2099394890.5657525,1408754594.2235155
31,18404918745.633778,48421823815.121376
32,32313536969.81534,96487421938.7925
33,10594367991.757435,24842158082.78014
34,1591397484.2334797,1036888322.0607023
35,150105358085.64743,394420798137.57117
36,59542707736.70161,95930551740.95059
37,67253336582.87082,107520435315.76213
38,18036360850.0635,47368505169.24908
39,4948606539.48984,24050983302.6234
40,38655093289.63583,89867619884.8236
41,57780745562.55936,89785393790.25587
42,5663792914.859422,11310030966.449688
43,4258855715.2987638,30596546530.262653
44,75736416553.79044,194906076374.83536
45,171699106143.94434,322497045804.47345
46,3497137105.315062,8030377816.429533
47,24579159841.394592,61673243024.55894
48,671448025.3133246,322022603.61808634
49,98893821332.7282,261803694049.86685
50,105573839484.02103,281229901451.50165
51,90581689424.12021,428386103739.6778
52,18257149503.296986,63001847334.29243
53,115707160811.5955,305075604465.61743
54,19261096483.565414,69113489646.53908
55,24664282787.778477,89410864824.66725
56,109999048286.31442,284879425666.74365
57,20527516277.865955,73682258547.41928
58,11217223568.917423,54693168970.198326
59,68083158387.60572,291449476151.14307
60,249820540296.41302,450660079814.47327
61,90640033112.99144,230758876206.19635
62,331054086165.69934,590630321357.9103
63,16906664704.751053,153277857530.74622
64,34294668609.785442,78640428510.55595
65,13241281520.103046,38809199584.99485
66,141327329.09843484,165577486.83760473
67,33239839386.54147,93277070489.85316
68,22428329698.13204,57877476665.58718
69,6257618109.177551,16158579583.11239
70,14779546151.966827,80025010268.6932
71,17703861662.24905,76638984972.69357
72,98963112264.98099,263409438324.63184
73,1174412436.8694592,2422930088.0052614
74,1679860692.160608,3809880691.2339907
75,0.0,0.0
76,162140182761.75577,331171549043.6469
77,212057957179.8248,371380029917.96326
78,26834601360.527733,48135603346.577194
79,89935421239.69373,163653080722.33563
80,380428474363.01276,682955437207.3016
81,12133302218.940275,33112436467.2798
82,12417919544.649193,39070782432.96791
83,491446377.4222045,433037877.63431716
84,1235754150.7936523,1172211991.450277
85,116119510659.66316,299718781672.0809
86,96140437996.9212,178437698980.22736
87,9105293949.895382,119766950884.39037
88,11101509401.858986,36503514504.98241
89,27008458335.375336,142598049206.2086
90,956712899.0101483,4348305879.328632
91,34144576701.310535,63339753355.16768
92,59092.98468679244,125008.23204679244
93,178491293.19114074,299584952.2608322
94,219368259.93857527,386285766.2922907
95,39481863968.44549,66530056989.673225
