Crop,Ble.tendre,Ble.tendre,Ble.dur,Ble.dur,Triticale,Triticale,Mais.grain,Mais.grain,Mais.ensilage,Mais.ensilage,Orge,Orge,Avoin,Avoin,Sorgho,Sorgho,Seigle,Seigle,Betterave,Betterave,Pomme.de.terre,Pomme.de.terre,Tournesol,Tournesol,Colza,Colza,Soja,Soja,Pois,Pois,Orge.d.hiver.et.escourgeon,Orge.d.hiver.et.escourgeon,Orge.de.printemps,Orge.de.printemps,Pois.proteagineux,Pois.proteagineux
Year,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050
Code_Departement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,434942.19999999995,441575.4112297273,42802.2,43454.967272748065,167032.8,42395.04545020749,412396.1,418685.4654412374,569098.7999999999,577778.005078248,344787.3,350045.5779740098,34122.4,246557.3919605051,28250.0,16558.088335465312,1351.4,681.6306141196518,0.0,0.0,3216.672,1750.6116256603386,77837.90000000001,55925.12997919635,33146.967,20095.6681984959,751.0999999999999,292.3004272379039,467.94,467.94,6705.0,6705.0,1094.0,1094.0,151.0,151.0
47,3542579.042,2820539.1413166174,6019.8,4792.858909172582,104549.4,20810.09847663743,4081232.4999999953,3249405.553013334,662272.4,527289.6396290753,297307.64,236711.1151764303,14586.000000000002,143523.10102388397,217242.5,126866.66253427872,2143.6,1088.5440669325649,0.0,0.0,184565.226,101779.24146203537,886533.0,615442.3453484646,169769.6,78398.78791770953,153742.4,62039.59298699191,1449,1449,3775.0,3775.0,1038.0,1038.0,106.0,106.0
48,45457.2,25198.364926228543,189.6,105.10128186542357,228541.5,31671.947006127022,0.0,0.0,17340.0,9612.110904780826,113249.785,62777.94079368997,19359.600000000002,143604.26279061136,0.0,0.0,74373.6,33682.79925889986,0.0,0.0,302.781,149.81765557929455,0.0,0.0,0.0,0.0,0.0,0.0,194.22,194.22,2269.0,2269.0,1131.0,1131.0,0.0,0.0
49,5450458.08,7520607.168789586,207280.19999999998,286007.69608490216,500380.19999999995,172607.64434869148,2335795.299999997,3222958.257850688,5452967.6,7524069.834463774,588447.762,811947.2514786113,41106.0,616720.9968463503,40228.0,24619.681733546087,13886.800000000001,8494.683876438774,7551.83,4423.342708280599,9767.48,5957.113280558434,298872.0,213366.80017801854,232372.14,155597.16402255924,0.0,0.0,477.96,477.96,8828.0,8828.0,1007.0,1007.0,2950.0,2950.0
50,2658079.149,3484261.7557480806,1611.6,2112.516569597306,128660.4,42162.63757306671,664009.7,870396.8066662548,10408624.0,13643826.425110565,402757.63499999995,527942.5275932762,18564.0,134680.5006418399,0.0,0.0,0.0,0.0,23460.0,17358.15003274303,103162.56999999999,70010.93154464255,0.0,0.0,31484.704,23993.82150802714,0.0,0.0,333.3,333.3,5075.0,5075.0,1719.0,1719.0,165.0,165.0
51,13795650.112000002,13377951.224124966,3128.4,3033.6796214589685,7233.299999999999,1753.5732967250972,1689581.799999998,1638425.3533588916,376393.6,364997.31299308856,6679564.154999999,6477323.122762848,35315.8,244672.2466706725,0.0,0.0,0.0,0.0,43041435.66,34631271.70298121,3995519.52,3117740.7963172565,131299.5,102723.12266057526,2582222.46,2003960.9927013186,0.0,0.0,217.71,217.71,33683.0,33683.0,61211.0,61211.0,14701.0,14701.0
52,4205521.6,4078188.5869855243,0.0,0.0,125018.09999999999,30308.21364623448,506574.99999999994,491237.13535371976,1537364.4,1490816.7277319056,2772018.074,2688088.0774228806,45393.4,314491.11055166536,0.0,0.0,0.0,0.0,35846.82,28842.461782973463,0.0,0.0,47650.4,37279.638414658664,1439515.74,1117151.3825883046,0.0,0.0,175.23,175.23,33132.0,33132.0,14651.0,14651.0,1324.0,1324.0
53,5663381.478,7814401.416887323,7015.2,9679.65676207764,433792.8,149638.12185898452,444288.3,613034.3037129347,9299673.2,12831800.173265506,605290.112,835186.5272037194,60686.600000000006,910492.3964193967,169.5,103.73461404584026,1537.8,940.6864695385219,39818.45,23322.909872512442,16511.229000000003,10070.075552163049,36383.4,25974.362394593405,339582.048,227385.27786408726,0.0,0.0,364.16,364.16,7721.0,7721.0,617.0,617.0,2615.0,2615.0
54,4647659.39,4690535.608528033,0.0,0.0,106550.09999999999,26883.265112841014,294694.49999999965,297413.1557190904,1830063.5999999999,1846946.5512340402,2236004.892,2256632.787965316,8353.800000000001,342862.2050368968,0.0,0.0,466.0,349.75614876349226,0.0,0.0,9509.856,6496.387870866233,14784.633,10966.00427746138,1201240.68,737594.1556351822,0.0,0.0,1660.68,1660.68,27772.0,27772.0,8718.0,8718.0,1060.0,1060.0
55,5805867.72,5859428.7992914785,0.0,0.0,57763.799999999996,14574.172612931621,631324.6,637148.7814298967,2218132.8,2238595.8199152783,3224725.476,3254474.6513589737,22895.600000000002,939696.4138048283,0.0,0.0,0.0,0.0,0.0,0.0,1189.2869999999998,812.4276163360297,19892.152,14754.33471496465,1624293.957,997360.2706467983,0.0,0.0,1304.82,1304.82,32912.0,32912.0,20200.0,20200.0,697.0,697.0
56,3827800.4669999997,4515105.567077527,0.0,0.0,845321.3999999999,249276.01321008138,3214064.199999996,3791169.1812238246,6955883.199999999,8204854.780446697,930532.8370000015,1097615.7270757635,92378.0,1689696.1984215833,0.0,0.0,3728.0,2330.441938349246,0.0,0.0,609977.095,368897.7652145899,0.0,0.0,190561.744,129783.25990065721,0.0,0.0,613.86,613.86,11855.0,11855.0,1468.0,1468.0,1681.0,1681.0
57,5001053.319,5047189.715190554,0.0,0.0,225001.8,56769.37928980293,183952.79999999978,185649.8263502125,1973985.5999999999,1992196.2800121575,2172357.532,2192398.2596969255,21879.0,897972.4417633011,0.0,0.0,0.0,0.0,0.0,0.0,16935.295000000002,11568.86550411926,2043.6,1515.7715677771696,1314024.303,806846.3401151166,0.0,0.0,1858.38,1858.38,29083.0,29083.0,5279.0,5279.0,431.0,431.0
