Crop,Vaches_laitieres,Vaches_laitieres,Vaches.allaitantes,Vaches.allaitantes,Brebis.meres.nourrices,Brebis.meres.nourrices,Porcs,Porcs,Poulets.de.chair,Poulets.de.chair,Poules.pondeuses,Poules.pondeuses
Year,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050
Code_Departement,,,,,,,,,,,,
38,31722.0,22033.333333333332,26467.0,11118.239999999989,46317.0,55592.39999999983,22910.0,13758.599999999993,234977.0,145693.18,144621.0,112812.18
39,50743.0,35239.583333333314,9849.0,4137.840000000002,10231.0,12287.999999999967,12198.0,7330.200000000008,36165.0,22434.080000000005,7296.0,5692.439999999995
40,10405.0,7603.997299113869,18743.0,7874.9999999999945,4489.0,5398.800000000013,38212.0,22934.999999999993,4132940.0,2562425.900000001,95448.0,74456.45999999996
41,10459.0,9059.767565341812,9547.0,4012.26,8295.0,9968.399999999967,20512.0,12311.99999999999,1165733.0,722759.4199999999,76769.0,59889.95999999996
42,58069.0,40326.388888888905,73643.0,30931.320000000032,42514.0,51020.40000000011,42961.0,25781.399999999972,511550.0,317166.57999999996,71393.0,55688.88000000003
43,77803.0,54031.24999999996,35776.0,15027.180000000008,121928.0,146316.00000000052,39158.0,43081.50000000015,255824.0,307004.3999999991,26069.0,26074.000000000076
44,121232.0,84193.74999999997,71816.0,17955.499999999975,20231.0,24294.00000000006,161743.0,97053.60000000005,4575638.0,2836902.3800000013,790913.0,616931.6400000004
45,9902.0,8578.518805780333,7427.0,3121.859999999999,7901.0,9502.79999999998,7497.0,4506.600000000002,1130484.0,700909.9999999998,186612.0,145572.96000000002
46,17009.0,11813.888888888889,42116.0,17689.56,230546.0,276657.6000000005,34261.0,20563.800000000003,326253.0,202281.2,45959.0,35851.139999999985
47,15048.0,10991.663882684516,25501.0,10711.259999999991,13419.0,16114.799999999985,17235.0,10350.599999999999,1488764.0,923036.7800000004,134878.0,105211.85999999994
48,15557.0,31122.000000000033,50281.0,21118.860000000022,134403.0,134404.99999999945,2618.0,2624.99999999999,62259.0,62267.00000000029,8094.0,8096.00000000003
49,91477.0,63527.08333333329,106971.0,26742.75,30533.0,36650.400000000074,184697.0,110822.40000000011,4013593.0,2488435.7200000007,1868529.0,1457461.9800000002
50,237867.0,165186.80555555542,45365.0,19054.140000000018,42055.0,50468.39999999982,235659.0,141404.40000000008,1975080.0,1224557.66,619847.0,483491.5800000002
51,10168.0,7071.527777777782,14162.0,5953.920000000005,4701.0,5668.800000000003,29318.0,17604.000000000007,935848.0,580238.7800000004,3742.0,2939.0400000000027
52,42278.0,29361.805555555562,31171.0,13093.080000000016,39592.0,47517.60000000016,3652.0,2199.5999999999995,70268.0,43576.69999999998,5980.0,4673.759999999998
53,164525.0,114254.86111111111,68638.0,17159.5,15308.0,18372.000000000065,332768.0,199663.8000000001,4484059.0,2780117.82,557757.0,435058.2600000001
54,39530.0,27455.555555555566,30515.0,12818.820000000005,41531.0,49853.99999999989,10038.0,6037.200000000005,8645.0,5371.0599999999995,44050.0,34371.479999999996
55,47223.0,32795.83333333335,37397.0,15706.74,24590.0,29515.199999999928,5412.0,3259.199999999996,79030.0,49007.90000000001,33845.0,26405.340000000004
56,152159.0,105668.05555555555,25227.0,9111.499211788649,12778.0,15349.199999999968,881760.0,529058.9999999997,12127210.0,7518873.299999999,5477829.0,4272713.6400000015
57,41989.0,29165.277777777777,51337.0,21564.06000000001,53953.0,64760.4,8569.0,5147.999999999999,9545.0,5924.719999999998,32407.0,25285.26
58,3186.0,2219.444444444443,141368.0,59374.56,51179.0,61419.60000000019,8199.0,4928.399999999998,155652.0,96513.53999999996,4268.0,3335.2800000000016
59,88984.0,61806.25,35217.0,8809.749999999993,11202.0,13488.000000000024,213001.0,127822.20000000011,3397464.0,2106451.240000005,1154196.0,900309.5400000005
60,26964.0,18729.861111111113,15365.0,3842.2500000000073,18785.0,22557.600000000006,0.0,0.0,11928.0,7410.860000000002,94548.0,73763.81999999995
61,106139.0,73709.02777777777,57474.0,24139.91999999997,21283.0,25543.200000000103,60154.0,36101.999999999985,1021039.0,633057.8199999996,50225.0,39181.73999999997
62,99964.0,69434.72222222209,35567.0,8897.250000000002,17268.0,20760.00000000005,106083.0,63661.79999999992,2091761.0,1296904.8400000015,271959.0,212158.44000000003
63,69282.0,48118.05555555553,92253.0,38747.939999999995,89983.0,107989.1999999999,31421.0,34582.900000000016,1557527.0,1869046.7999999984,51761.0,51770.999999999796
64,36691.0,26791.039931923508,104445.0,43868.579999999965,515016.0,618026.4000000001,134647.0,80794.20000000001,1179132.0,731069.2799999994,210126.0,163902.18
65,8577.0,5958.333333333331,45395.0,19066.739999999994,79132.0,94958.4,25531.0,15326.999999999996,393521.0,243984.87999999992,29572.0,23067.719999999987
66,629.0,1278.0000000000014,6503.0,2734.1999999999975,13502.0,13510.999999999942,43.0,50.00000000000006,3904.0,3917.000000000012,43791.0,43802.00000000018
67,25656.0,23223.885558450296,13367.0,5615.399999999999,21442.0,25743.599999999962,48449.0,29075.999999999993,969281.0,600962.8999999997,368392.0,287352.0000000003
68,18448.0,16700.454394220164,4497.0,1890.840000000002,5538.0,6659.99999999998,13621.0,8179.200000000008,20143.0,12494.860000000011,39901.0,31129.01999999998
69,33877.0,23533.333333333343,17043.0,7163.0999999999985,15708.0,18860.399999999983,4205.0,2533.7999999999984,143070.0,88709.59999999999,46695.0,36434.58
70,47956.0,33304.861111111124,27290.0,11462.640000000007,26388.0,31673.999999999978,9920.0,5960.400000000007,51209.0,31760.119999999974,24723.0,19294.859999999986
71,22024.0,15306.944444444443,218668.0,91842.24000000012,54269.0,65132.4000000002,27152.0,16305.6,1746165.0,1082630.360000001,12662.0,9888.840000000006
72,61202.0,42502.77777777775,62383.0,15596.25000000002,10061.0,12076.799999999977,202195.0,121318.19999999995,7281206.0,4514348.959999998,1314048.0,1024962.8999999999
73,29080.0,20195.83333333333,5805.0,2439.7800000000025,30579.0,36703.200000000055,748.0,457.8000000000005,905.0,571.0200000000001,9173.0,7157.280000000004
74,51237.0,35581.24999999998,4144.0,1741.3200000000013,16616.0,19948.799999999945,6345.0,3814.1999999999957,4942.0,3072.72,9123.0,7123.739999999998
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,101747.0,70665.9722222221,51262.0,20824.498396736202,34126.0,40964.39999999999,35884.0,21545.399999999972,384138.0,238177.96000000002,63188.0,49299.11999999999
77,3834.0,7718.000000000004,3155.0,794.9999999999987,1782.0,2172.000000000002,8.0,14.4,438728.0,272025.0,144919.0,113058.65999999997
78,672.0,1401.9999999999975,1322.0,337.25000000000006,242.0,325.19999999999953,168.0,115.19999999999989,42464.0,26343.79999999997,19260.0,15045.420000000011
79,36463.0,25323.611111111124,102007.0,28085.12606415612,174876.0,209858.40000000046,104103.0,62469.59999999993,4935986.0,3060315.6600000006,1179250.0,919823.5800000003
80,60208.0,41814.58333333331,23064.0,5767.750000000007,20478.0,24588.000000000062,41332.0,24807.00000000001,900244.0,558162.4399999996,562582.0,438833.4600000002
81,20791.0,14439.583333333343,59235.0,24879.960000000017,213777.0,256540.79999999952,34556.0,20745.000000000007,260680.0,161630.89999999997,23627.0,18435.300000000014
82,9093.0,6318.749999999996,22550.0,9472.26000000001,26689.0,32032.799999999883,6499.0,3906.5999999999995,349779.0,216867.31999999992,73364.0,57226.25999999998
83,30.0,92.0000000000001,37.0,21.84000000000003,45509.0,45525.99999999982,0.0,0.0,4115.0,4132.999999999992,3160.0,3182.0000000000136
84,4.0,28.0,25.0,14.7,19092.0,19102.00000000006,1343.0,1351.9999999999966,433323.0,433332.0000000011,62516.0,62524.99999999971
85,76945.0,53435.416666666686,143045.0,35761.74999999995,24939.0,29935.19999999994,155305.0,93187.20000000007,11125792.0,6897994.759999998,2615213.0,2039870.8200000015
86,15388.0,10693.750000000004,48051.0,13231.20270945218,195687.0,234835.20000000027,35018.0,21021.000000000007,37866.0,23486.219999999987,65619.0,51192.17999999997
87,13967.0,9700.694444444442,142468.0,59837.40000000003,257302.0,308764.8000000001,13221.0,7941.600000000006,250418.0,155262.88000000003,39204.0,30583.8
88,62894.0,43677.77777777779,24572.0,10321.080000000005,44017.0,52825.20000000004,5382.0,3238.8,9982.0,6194.419999999998,24625.0,19212.179999999993
89,15636.0,10863.88888888889,26655.0,11198.040000000006,20857.0,25042.80000000003,19585.0,11763.00000000001,2294249.0,1422445.540000002,75667.0,59038.19999999997
90,5152.0,3579.861111111113,2591.0,1089.4799999999989,1885.0,2266.7999999999943,0.0,0.0,221.0,139.50000000000009,13783.0,10754.640000000007
91,65.0,196.0000000000003,25.0,14.499999999999998,0.0,0.0,0.0,0.0,4630.0,2888.579999999997,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,372.0,803.9999999999982,885.0,228.74999999999957,355.0,463.2000000000014,0.0,0.0,8300.0,5163.9800000000005,56.0,67.07999999999984
