Crop,Ble.tendre,Ble.tendre,Ble.dur,Ble.dur,Triticale,Triticale,Mais.grain,Mais.grain,Mais.ensilage,Mais.ensilage,Orge,Orge,Avoin,Avoin,Sorgho,Sorgho,Seigle,Seigle,Betterave,Betterave,Pomme.de.terre,Pomme.de.terre,Tournesol,Tournesol,Colza,Colza,Soja,Soja
Type,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend,Evolu.surf,Evolu.rend
Nom.de.region,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALSACE,0.908524584699172,0.819101880000001,0.908524584699172,0.769156067000001,0.908524584699172,0.729448537,0.908524584699172,0.820543849,0.227131146174793,0.815026647,0.908524584699172,0.763047775,0.908524584699172,0.759955042,0.908524584699172,0.809257805000001,0.908524584699172,0.761392013,0.908524584699172,1.010753695,0.908524584699172,0.689619171,0.908524584699172,0.883478928,0.908524584699172,0.950320738,22.9308579605798,0.673433588000001
AQUITAINE,0.892290544734113,0.761420934,0.892290544734113,0.766969176000001,0.892290544734113,0.717473694,0.892290544734113,0.707776737,0.223072636183528,0.670437356000001,0.892290544734113,0.701227658,0.892290544734113,0.724650455,0.892290544734113,0.760993175,0.892290544734113,0.718623086000001,0.892290544734113,0.966031534000001,0.892290544734113,0.523846266,0.892290544734113,0.8815472,0.892290544734113,0.689147231,11.0275569469441,0.585549033
AUVERGNE,1.7340722818633,0.757286765000001,1.7340722818633,0.750117551,1.7340722818633,0.723575611,1.7340722818633,0.839155542,0.433518070465825,0.871352162000001,1.7340722818633,0.723782329,1.7340722818633,0.715050943000001,1.7340722818633,0.856925767,1.7340722818633,0.729861307,1.7340722818633,0.911410878000001,1.7340722818633,0.733696394,1.7340722818633,0.937218554,1.7340722818633,0.753637461,54.7503786320444,0.68492549
BASSE-NORMANDIE,1.14491022147496,0.840993130000001,1.14491022147496,0.78416321,1.14491022147496,0.771048721,1.14491022147496,0.959056666,0.28622755536874,0.957614397,1.14491022147496,0.772653476999999,1.14491022147496,0.780818636,1.14491022147496,0.869147596,1.14491022147496,0.763925294000001,1.14491022147496,0.997940171000001,1.14491022147496,0.79886332,1.14491022147496,0.953953769000001,1.14491022147496,0.758285302000001,6.33667932483201,0.745113491000001
BOURGOGNE,1.17128563503744,0.777650502,1.17128563503744,0.735793058,1.17128563503744,0.718405768,1.17128563503744,0.793705094000001,0.292821408759361,0.800440844,1.17128563503744,0.713206266,1.17128563503744,0.703848923,1.17128563503744,0.869147596,1.17128563503744,0.725350364,1.17128563503744,0.995212393000001,1.17128563503744,0.749151516,1.17128563503744,0.927597661,1.17128563503744,0.948704540000001,13.4005857575809,0.675280517000001
BRETAGNE,1.08607372960949,0.811787252,1.08607372960949,0.765348364,1.08607372960949,0.748933839,1.08607372960949,0.834677929000001,0.271518432402374,0.827877796,1.08607372960949,0.755580433,1.08607372960949,0.76152251,1.08607372960949,0.794163187,1.08607372960949,0.752181245,1.08607372960949,0.967748939000001,1.08607372960949,0.749339332000001,1.08607372960949,0.908875572,1.08607372960949,0.731265039,16.8414997267638,0.697265088999999
CENTRE-VAL DE LOIRE,0.859929184929971,0.85331192,0.859929184929971,0.805514704,0.859929184929971,0.794410687,0.859929184929971,0.981985963,0.284597052416175,0.878118367999999,0.859929184929971,0.79908066,0.859929184929971,0.798588325,0.859929184929971,0.934333666,0.859929184929971,0.785147301,1.31652180103609,1.006763506,1.31652180103609,0.718852913,0.852346749138768,0.981276372,0.852346749138768,0.757692533,6.57736303767845,0.762854288
CHAMPAGNE-ARDENNE,0.984744850645567,0.864579681,0.984744850645567,0.788302015,0.984744850645567,0.789330970000001,0.984744850645567,1.013569357,0.246186212661392,0.988904242,0.984744850645567,0.813630932,0.984744850645567,0.802331986,0.984744850645567,0.972551578000001,0.984744850645567,0.799868059000001,0.984744850645567,0.978107944000001,0.984744850645567,0.786519586,0.984744850645567,0.986702134,0.984744850645567,0.789526728,7.03545100052494,0.820932255
CORSE,4.45872826225526,0.694613672,4.45872826225526,0.684162707,4.45872826225526,0.647461957,4.45872826225526,0.698691218,1.11468206556381,0.719427785,4.45872826225526,0.63243823,4.45872826225526,0.606813433,4.45872826225526,1.070917969,4.45872826225526,0.0,4.45872826225526,0.971881895,4.45872826225526,0.599765302,4.45872826225526,0.92,4.45872826225526,0.673269822,89.1745652451051,0.593266763
